site,url,ground_truth,prefilter,haiku_call_1,haiku_call_2,haiku_call_3,haiku_majority,haiku_agrees,gpt4omini_call_1,gpt4omini_call_2,gpt4omini_call_3,gpt4omini_majority,gpt4omini_agrees
newegg,https://www.newegg.com/computer-power-cords/subcategory/id-2827,HELPFUL,,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True
newegg,https://www.newegg.com/cd-dvd-blu-ray-burners-media/category/id-10,HELPFUL,,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True
newegg,https://www.newegg.com/server-power-supplies/subcategory/id-520,HELPFUL,,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True
newegg,https://www.newegg.com/server-motherboards/subcategory/id-302,HELPFUL,,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True
newegg,https://www.newegg.com/tools/memory-finder,NON-HELPFUL,,NON-HELPFUL,NON-HELPFUL,NON-HELPFUL,NON-HELPFUL,True,NON-HELPFUL,NON-HELPFUL,NON-HELPFUL,NON-HELPFUL,True
newegg,https://www.newegg.com/backup-drives/subcategory/id-46,HELPFUL,,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True
newegg,https://www.newegg.com/memory-cards/subcategory/id-68,HELPFUL,,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True
newegg,https://www.newegg.com/data-converters/subcategory/id-3028,HELPFUL,,NON-HELPFUL,NON-HELPFUL,NON-HELPFUL,NON-HELPFUL,False,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True
newegg,https://www.newegg.com/dvi-cables/subcategory/id-2814,HELPFUL,,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True
newegg,https://www.newegg.com/ac-power-cords-for-laptop/subcategory/id-2811,HELPFUL,,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True,HELPFUL,HELPFUL,HELPFUL,HELPFUL,True
